date,daOfWeek,holidayName,productName,quantity,price
2012/3/14,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/3/15,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,118
2012/3/16,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/3/17,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/3/18,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,12,756
2012/3/19,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/3/20,Tue,春分の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/3/21,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/3/22,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/3/23,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/3/24,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,440
2012/3/25,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,20,1220
2012/3/26,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/3/27,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/3/28,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/3/29,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/3/30,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/3/31,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/4/1,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,10,630
2012/4/2,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/4/3,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/4/4,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/4/5,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/4/6,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/4/7,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/4/8,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,13,819
2012/4/9,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/4/10,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/4/11,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/4/12,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,4,252
2012/4/13,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/4/14,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,3,189
2012/4/15,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,16,1008
2012/4/16,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,2,126
2012/4/17,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/4/18,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/4/19,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/4/20,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,5,315
2012/4/21,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/4/22,Sun,,赤城　ガリガリ君ソーダ　１１３ｍｌ,8,504
2012/4/23,Mon,,赤城　ガリガリ君ソーダ　１１３ｍｌ,6,378
2012/4/24,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,9,567
2012/4/25,Wed,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,433
2012/4/26,Thu,,赤城　ガリガリ君ソーダ　１１３ｍｌ,1,63
2012/4/27,Fri,,赤城　ガリガリ君ソーダ　１１３ｍｌ,0,0
2012/4/28,Sat,,赤城　ガリガリ君ソーダ　１１３ｍｌ,18,792
2012/4/29,Sun,昭和の日,赤城　ガリガリ君ソーダ　１１３ｍｌ,9,559
2012/4/30,Mon,振替休日,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
2012/5/1,Tue,,赤城　ガリガリ君ソーダ　１１３ｍｌ,7,441
